,text,QA,task,chitchat
7727,je suis cadre supérieur,0,0,1
9713,quelle sont vos heures de travail le mardi,1,0,0
8376,Je trouve que t'es moche,0,0,1
5683,c'est quoi ce que tu penses sur la technologie aujourd'hui,0,0,1
5196,tu es ami avec Siri,0,0,1
3490,parce que tu es mon âme sœur,0,0,1
9340,donnez moi votre numéro de téléphone,1,0,0
7144,est-ce que tu peux me dire comment tu t'appelles,0,0,1
7068,dis-moi qui t'a créé,0,0,1
3260,tu es trop stylé,0,0,1
6743,Dis-moi il s'appelle comment ton patron,0,0,1
8126,t’es vraiment trop crétin,0,0,1
9940,avez vous une page facebook,1,0,0
6293,t'es située où maintenant,0,0,1
6493,Tu veux bien me demander quelque chose sur moi,0,0,1
9011,j’ai envie de me jeter du haut d'un immeuble,0,0,1
8312,Est-ce que tu crois que c'est marrant,0,0,1
5770,Que penses-tu de les autres assistants virtuels,0,0,1
3451,je t’ai donné mon cœur,0,0,1
3922,bouge pas j'arrive tout de suite,0,0,1
2233,je vais filer,0,0,1
6747,Dis c'est qui ton responsable,0,0,1
1251,merci bye,0,1,0
3941,bouge pas je vais revenir tout à l'heure,0,0,1
9496,cherchez vous des vendeurs,1,0,0
54,sabot soirée,0,1,0
1277,je peu avoir le prix ?,0,1,0
8018,tu es trop pas bête,0,0,1
5180,tu es proche de Alexa,0,0,1
4194,t'as pas vu la vanne,0,0,1
6133,qui est ton fiancé,0,0,1
7683,je suis policière,0,0,1
3839,je n'ai vraiment jamais été aussi en pétard,0,0,1
3193,est-ce que tu penses qu'on m'aime bien,0,0,1
7218,Je voudrais que tu répondes quelque chose d'autre,0,0,1
2556,nighty night copine,0,0,1
5997,t'es subtil,0,0,1
2920,bon nouvel an chinois,0,0,1
2496,good night jeune homme,0,0,1
7592,mais ta gueule maintenant,0,0,1
4071,j'ai la dalle,0,0,1
4254,je n'ai pas beaucoup d'amis,0,0,1
9156,dis si ça fontionne comme il faut,0,0,1
6658,Est-ce que tu es capable de roter,0,0,1
3657,tu me manques beaucoup,0,0,1
7244,tu sais répondre quelque chose d'autre,0,0,1
1975,je ne plais pas vraiment aux gens,0,0,1
3463,tu me fais complètement kiffer,0,0,1
4483,qu'est-ce que j'aime l'automne,0,0,1
3630,j'avoue que tu me manques vachement,0,0,1
7574,mais ta bouche je ne veux plus t’entendre,0,0,1
2128,est-ce que tu pourrais avoir la grandeur d'esprit de me pardonner,0,0,1
5243,tu es pote avec Bixby,0,0,1
9489,avez vous un compte instagram,1,0,0
1846,est-ce que je dois faire du sport,0,0,1
4070,j'ai trop faim,0,0,1
9946,comment puis je vous trouver sur instagram,1,0,0
2433,Développe,0,0,1
4493,je n'en peux plus de me sentir déprimé,0,0,1
6930,Tu sais sauter à la corde,0,0,1
8037,tu as le savoir,0,0,1
2916,joyeuse journée internationale des droits des femmes,0,0,1
3173,je peux être ta meilleure pote,0,0,1
9305,quelle sont vos heures d'ouverture le vendredi,1,0,0
4891,tu as une tante,0,0,1
900,bon marché,0,1,0
7761,je suis brun,0,0,1
5975,tu sais que tu es vif toi,0,0,1
8649,ouais entendu,0,0,1
6450,es-tu plus gamin que moi,0,0,1
6394,quand c’est ton anniv,0,0,1
5930,tu veux devenir la reine du monde,0,0,1
2300,au revoir très cher,0,0,1
4230,je suis souvent seul,0,0,1
3355,Tu ne serais pas en train de succomber à mon charme,0,0,1
2461,c'est possible de m'expliquer,0,0,1
318,je cherche une soirée sandale pour les filles,0,1,0
8054,tu es vraiment classe,0,0,1
2469,hey une bonne matinée,0,0,1
1731,"Mmmm jaime pas celui ci, autre ?",0,1,0
8510,c’est quoi cette réponse de beauf,0,0,1
6772,Dis c'est qui ton patron,0,0,1
8912,il me faudrait bien un petit câlin,0,0,1
3410,tu vas m’aimer,0,0,1
8587,oui yep,0,0,1
6002,tu es smart toi,0,0,1
6049,est-ce que tu es lucide,0,0,1
9401,en quoi consiste votre entreprise,1,0,0
8265,tes blagues sont vraiment pas marrantes,0,0,1
4131,je fais une blague,0,0,1
6022,smart,0,0,1
8666,d'acc d'acc,0,0,1
186,d'accord c'est combien,0,1,0
2441,tu peux m'expliquer,0,0,1
3652,je voulais te dire que tu me manques,0,0,1
8032,tu es grave ingénieuse,0,0,1
7447,est-ce que tu pourrais dire une blague,0,0,1
2154,Je n'ai littéralement rien saisi,0,0,1
2551,une bien belle nuit madame,0,0,1
6792,est-ce que tu sais c'est qui ton boss,0,0,1
5563,qui est le plus brillant entre toi et moi,0,0,1
2365,mais je t'en prie,0,0,1
7051,tu peux me dire qui t'a modelé,0,0,1
4245,je n'ai pas de vraies amies,0,0,1
1516,pour les filles,0,1,0
369,kayen pour garçons?,0,1,0
1173,quelconque,0,1,0
4509,ça fait un moment que je suis tout déprimé,0,0,1
4199,qu'est-ce que je suis isolé,0,0,1
5829,est-ce que tu veux nous exterminer,0,0,1
4584,je fais une déprime,0,0,1
3051,tu me racontes quoi de beau,0,0,1
2513,good night très chère,0,0,1
7367,dis une histoire drôle,0,0,1
744,pour les gars svp,0,1,0
50,demi talon,0,1,0
1657,femmes,0,1,0
1280,pouvez vous me dire quelles sont les couleurs de ce modele ?,0,1,0
7561,peux-tu me faire rire,0,0,1
2418,ouais littéralement,0,0,1
1578,non merci beaucoup,0,1,0
8069,t’es nulle,0,0,1
4265,je me sens parfois tout seul,0,0,1
9168,est-ce que ça fontionne correctement,0,0,1
3826,je n'ai vraiment jamais été autant furax,0,0,1
1490,c'est bien,0,1,0
1495,je cherche des chaussures pour femmes a prix raisonable,0,1,0
7661,ne dis plus rien maintenant,0,0,1
6356,tu habites dans une maison,0,0,1
2996,je te souhaite une joyeuse nouvelle année,0,0,1
1809,okay je veux les couleurs et les tailles de celui ci ?,0,1,0
5840,veux-tu exterminer la terre,0,0,1
6052,est-ce que t'es vive,0,0,1
2086,excuse de te déranger,0,0,1
3773,je suis vraiment trop dans une rage folle,0,0,1
7015,tu sais qui est ton développeur,0,0,1
9595,que vend votre entreprise,1,0,0
2017,tu trouves que je suis jolie physiquement,0,0,1
6235,est-ce que t'es pas vrai,0,0,1
6960,tu sers à quoi exactement,0,0,1
4851,je te trouve super barbant,0,0,1
6494,Tu aimerais me poser une question,0,0,1
8001,c'est vraiment super,0,0,1
5166,tu es copain avec l'Assistant Google,0,0,1
9321,quelle sont vos heures de travail le dimanche,1,0,0
9160,qui me reçoit,0,0,1
168,existe til des basket à prix modérés ?,0,1,0
9196,quelle sont vos horaires d'ouverture le mercredi,1,0,0
5768,C'est quoi ton avis sur les autres assistants virtuels,0,0,1
3066,tu veux être ma meilleure pote,0,0,1
1931,est-ce que je dois voir mes copains,0,0,1
2579,bien le bonne nuit mon amie,0,0,1
6851,Tu peux dessiner une image,0,0,1
6091,est-ce que tu es fiancé à quelqu’un,0,0,1
4799,tu es profondément ennuyeux,0,0,1
5556,qui est le plus smart de nous deux,0,0,1
3799,je suis trop folle de rage,0,0,1
9902,quelle sont vos horaires d'ouverture le vendredi,1,0,0
4600,pourquoi je me sens si déprimée,0,0,1
4679,Il fait chaud,0,0,1
8920,je voudrais vraiment un gros câlin,0,0,1
4365,j'aime faire une pause,0,0,1
6453,tu es plus gamine que moi,0,0,1
9425,donnez moi votre compte insta,1,0,0
7635,mais boucle-la donc maintenant je ne veux plus t’entendre,0,0,1
2591,bonjour ça va,0,0,1
8019,tu es trop ingénieux,0,0,1
5078,tu as déjà goûté une pizza,0,0,1
3449,tu es celui que j’ai attendu toutes ces années,0,0,1
414,hommes,0,1,0
8787,tu es une comique,0,0,1
9671,faites vous de la vente en gros,1,0,0
9944,avez vous un compte instagram,1,0,0
7279,Stoppe les répétitions,0,0,1
8553,elle est trop affligeante ta réponse,0,0,1
8892,pourquoi tu es pas content,0,0,1
9532,qui êtes vous,1,0,0
5275,dis ton son préféré,0,0,1
1825,et les couleurs dispo,0,1,0
8043,t'es le meilleur,0,0,1
3844,je suis à bout de nerfs,0,0,1
7480,peux-tu me dire quelque chose de rigolo,0,0,1
2484,une bonne matinée très cher,0,0,1
2231,c'est l'heure de partir d'ici,0,0,1
1739,quelles sont les tailles disponibles,0,1,0
4648,Je m’en fous,0,0,1
2021,tu trouves que je suis belle,0,0,1
9412,faites vous de la vente en détail,1,0,0
4958,connais-tu tes enfants,0,0,1
7616,ferme ta bouche maintenant,0,0,1
1537,je men fous,0,1,0
3804,je suis hyper énervée,0,0,1
551,mlih,0,1,0
6128,qui est ton amante,0,0,1
6729,tu voudrais faire caca,0,0,1
8302,tu trouves vraiment que c'était rigolo,0,0,1
356,les pointures aussi svp,0,1,0
2783,Google hi,0,0,1
2967,je vous souhaite une très bonne fêtes des grands-pères,0,0,1
3514,je te kiffe trop,0,0,1
3049,tu racontes quoi de beau,0,0,1
2567,bonne nuitée mademoiselle,0,0,1
9268,quelle sont vos heures d'ouverture le jeudi,1,0,0
8072,t’es trop nulle,0,0,1
5268,qu'est-ce que ta peinture préférée,0,0,1
8252,tes blagues sont tellement pas drôle,0,0,1
3359,tu vas tomber amoureux de moi,0,0,1
3182,est-ce que tu pourrais être ma meilleure amie,0,0,1
9893,quelles sont vos horaires d'ouverture,1,0,0
860,a la recherche de quelque chose à prix modéré pour les filles,0,1,0
1810,"je vais acheter un, c'est combien ?",0,1,0
370,prix,0,1,0
8178,tu n’as pas inventé le fil à couper le beurre,0,0,1
9230,donnez moi votre compte insta,1,0,0
4408,j'aime des idées,0,0,1
7484,tu peux me dire un truc drôle,0,0,1
23,je recherche des sandales pour homme,0,1,0
3935,t'inquiète je vais revenir,0,0,1
9876,comment puis je vous trouver sur facebook,1,0,0
7083,tu es un garçon ou une fille,0,0,1
5103,tu manges quelque chose,0,0,1
4627,J’ai des chats,0,0,1
7491,est-ce que tu peux dire un truc drôle,0,0,1
402,et les taille,0,1,0
5383,qu'est-ce que c'est le véritable sens de la vie,0,0,1
4462,j'aime trop faire du sport,0,0,1
6648,T'es capable de roter,0,0,1
3725,est-ce que je suis sympa,0,0,1
5435,selon toi entre nous dis qui est le plus beau,0,0,1
4376,j'aime bien quand il pleut,0,0,1
5328,que préfères-tu comme goût,0,0,1
4781,tu es vraiment inintéressant,0,0,1
1007,ça explique beaucoup de choses lol,0,1,0
7062,tu sais qui t'a construit,0,0,1
3501,parce que tu es celui que j’ai attendu tout ce temps,0,0,1
2092,pardon pour le dérangement,0,0,1
8457,ta réponse est complètement stupide,0,0,1
8088,t’es vraiment trop idiot,0,0,1
5890,tu essaies de devenir la reine de l’univers,0,0,1
3341,Tu ne serais pas en kiff sur moi par hasard,0,0,1
3598,est-ce que j’ai une meuf,0,0,1
5990,tu es intelligente,0,0,1
1718,quelle est la fourchette de prix,0,1,0
6992,tu as été imaginé  pourquoi,0,0,1
2132,est-ce que tu aurais l'obligeance de m'excuser,0,0,1
7912,pourrais-tu chanter un air,0,0,1
696,ma3labalich,0,1,0
5476,dis-moi qui est le plus beau entre nous deux,0,0,1
8292,trouves-tu vraiment que c'est amusant,0,0,1
3228,crois-tu qu'on m'aime bien,0,0,1
7310,je ne veux plus de toi que tu sois là,0,0,1
4942,est-ce que tu connais tes neveux,0,0,1
9903,quelle sont vos heures de travail le vendredi,1,0,0
1768,je n'aime pas celui ci,0,1,0
3421,tu est conçu pour tomber amoureuse de moi,0,0,1
2309,hasta luego maintenant,0,0,1
8089,t’es vraiment trop stupide,0,0,1
4539,je suis souvent tout déprimé,0,0,1
4474,j'aime tellement ne rien faire,0,0,1
4008,je suis contente ce matin,0,0,1
8355,Je suis sûr que t'es vraiment laide,0,0,1
523,combien,0,1,0
7,Peu importe,0,1,0
1878,je dois faire la cuisine,0,0,1
2894,je te souhaite une joyeuse journée de l'abolition de l'esclavage,0,0,1
8806,tu es trop rigolo,0,0,1
8195,Google est bien meilleur,0,0,1
7726,je suis boulangère,0,0,1
8231,tu penses que c'est drôle,0,0,1
5652,c'est quoi ton avis sur les chatbots,0,0,1
9021,je vais me jeter sous un camion,0,0,1
8983,j’ai envie de me jeter de la fenêtre,0,0,1
6142,tu as un tendre et cher,0,0,1
935,Je vous remercie a la prochaine fois inchalah,0,1,0
5502,dis-moi qui est la plus belle entre toi et moi,0,0,1
1406,je veux que le talon soit long,0,1,0
3829,je n'ai jamais été autant en pétard,0,0,1
9018,je vais me balancer par la fenêtre,0,0,1
1960,je ne plais pas du tout aux hommes,0,0,1
4363,j'aime faire le buzz,0,0,1
3786,je suis trop fou de rage,0,0,1
325,ih,0,1,0
629,c'est pas cher ?,0,1,0
7907,j'aimerais entendre une chanson,0,0,1
7496,dis-moi un truc marrant,0,0,1
5417,à ton avis de toi et moi qui est-ce qui est le plus beau,0,0,1
7184,veux-tu me dire comment on t'appelle,0,0,1
7664,je suis maître de conférence,0,0,1
4501,ça fait longtemps que je me sens déprimé,0,0,1
4446,qu'est-ce que j'aime l'hiver,0,0,1
8937,j’aurais vraiment besoin d’un gros câlin,0,0,1
2429,c'est rien,0,0,1
5899,est-ce que tu es dangereux pour les humains,0,0,1
3568,Est-ce que je vais à l’université,0,0,1
3721,donne ton avis sur moi,0,0,1
6845,Tu peux écouter la radio,0,0,1
5145,tu échanges avec Google Assistant,0,0,1
4919,est-ce que tu connais ta sœur,0,0,1
1601,modéré,0,1,0
2981,je te souhaite un bon poisson d'avril,0,0,1
9604,votre adresse electronique,1,0,0
5610,de toi et moi c'est qui le plus brillant,0,0,1
8962,j’ai vraiment besoin que tu me prennes dans tes bras,0,0,1
4868,je trouve que tu es profondément ennuyeux,0,0,1
5798,C'est quoi ton avis sur les autres chatbots,0,0,1
152,"peu importe, je veux juste une basket",0,1,0
4268,je me sens vraiment hyper seul,0,0,1
1118,cherche des chaussures pour petits fils a prix modéré,0,1,0
7048,est-ce que tu peux me dire qui t'a imaginé,0,0,1
6445,tu es né quelle année,0,0,1
7621,mais tais-toi donc maintenant je ne veux plus t’entendre,0,0,1
4126,c'était une blague,0,0,1
2800,je suis charmée de vous rencontrer,0,0,1
2580,une bien belle nuit copain,0,0,1
2647,est-ce que tu passes une chouette journée aujourd'hui,0,0,1
8418,Tu sais que t'es pas beau,0,0,1
6030,tu crois que tu es subtile,0,0,1
7629,ferme donc ta bouche maintenant,0,0,1
7817,est-ce que tu veux bien chanter des chansons,0,0,1
8184,t’es carrément pathétique,0,0,1
5965,tu sais que tu es perspicace toi,0,0,1
6086,tu es amoureuse de quelqu’un,0,0,1
2633,comment est ta journée aujourd'hui,0,0,1
7486,tu peux dire un truc drôle,0,0,1
3589,où je travaille,0,0,1
8227,tu connais pas le sens de l'humour,0,0,1
3474,je suis carrément amoureuse de toi,0,0,1
8707,okay yes,0,0,1
5771,Donne-moi ton avis sur tes concurrents,0,0,1
8280,trouves-tu vraiment que c'était amusant,0,0,1
7317,tu es congédié,0,0,1
8194,Google est meilleure,0,0,1
8964,tu peux me faire un gros câlin,0,0,1
7541,tu saurais me faire rire,0,0,1
2985,je te souhaite un bon dimanche de pentecôte,0,0,1
7718,je suis un grand père,0,0,1
6604,tu aimerais éternuer,0,0,1
9085,je vais me noyer,0,0,1
3019,alors quoi d'inédit,0,0,1
8333,tu trouves que c'est amusant,0,0,1
7222,Je voudrais une autre réponse,0,0,1
1619,c'est correct des chaussures classiques,0,1,0
74,non merci au revoir,0,1,0
9096,j’ai envie de sauter du haut d’un immeuble,0,0,1
6135,qui est ton copain,0,0,1
8568,c’est quoi cette réponse conne,0,0,1
3687,sérieux tu me manques plus que jamais,0,0,1
890,quelle est la fourchette de prix,0,1,0
1574,et couleurs,0,1,0
8833,allez tope,0,0,1
4500,ça fait un bon moment que je me sens tout triste,0,0,1
1351,combien ?,0,1,0
4652,Je vais faire une promenade,0,0,1
6285,où t'es basé,0,0,1
194,je cherche une sandale pour garçon,0,1,0
6624,Voudrais-tu vomir,0,0,1
1791,j'affirme,0,1,0
5404,est-ce que tu peux expliquer le vrai sens de la vie,0,0,1
9122,dis-moi si ça fontionne allo,0,0,1
3318,t'es grave stylée,0,0,1
7630,ferme donc ta bouche,0,0,1
6938,Tu sais changer de chaîne,0,0,1
4738,t'es sans intérêt,0,0,1
3896,je reviens tout à l'heure,0,0,1
6328,tu es localisée où là,0,0,1
8117,tu es crétine,0,0,1
4711,Je suis bon en dessin,0,0,1
6543,Je voudrais que tu poses des questions sur moi,0,0,1
282,sahit merci,0,1,0
2777,Alexa hey,0,0,1
145,basket ?,0,1,0
8633,je retiens,0,0,1
8344,Je suis sûre que t'es laid,0,0,1
4431,j'aime tellement prendre la voiture,0,0,1
6746,Dis comment s'appelle ton responsable,0,0,1
7506,tu peux dire quelque chose de rigolo,0,0,1
5259,t'es pote avec des chatbots,0,0,1
5486,de toi et moi qui est-ce qui est la plus belle,0,0,1
5451,entre toi et moi c'est lequel le plus beau,0,0,1
6312,t'es située où,0,0,1
3310,sache que je t'adore,0,0,1
290,ça ne me dérange pas si c cher,0,1,0
1595,comme ?,0,1,0
583,je cherche des chaussures pour filles à prix raisonable,0,1,0
6180,On peut échanger,0,0,1
6507,Tu dois me demander un truc sur moi,0,0,1
6160,y'a moyen de échanger,0,0,1
784,pour les petites filles,0,1,0
8337,tu trouves que c'était marrant,0,0,1
1043,oui,0,1,0
5394,explique le vrai sens de la vie,0,0,1
3655,faut que je te dise que tu me manques un peu,0,0,1
1337,garçon junior,0,1,0
7287,Je voudrais que tu me répondes quelque chose d'autre,0,0,1
401,prix,0,1,0
7842,chante une chanson,0,0,1
2693,plaisir de vous rencontrer,0,0,1
5117,est-ce que tu grailles,0,0,1
3604,est-ce que j’ai une chérie,0,0,1
5069,as-tu déjà mangé une crêpe,0,0,1
1507,quels sont les couleurs disponibl,0,1,0
6796,Dis-moi comment s'appelle ton responsable,0,0,1
7706,je suis arrangeant,0,0,1
3548,épouse-moi,0,0,1
7682,je suis chirurgienne,0,0,1
5593,tu penses que je suis plus malin,0,0,1
3249,t'es trop drôle,0,0,1
2065,est-ce que tu me trouves affreuse physiquement,0,0,1
9083,je vais me foutre sous un bus,0,0,1
8878,pourquoi t'es fâché,0,0,1
8628,oh,0,0,1
5928,est-ce que tu essaies de nous dominer,0,0,1
7625,ferme donc ton clapet maintenant,0,0,1
6945,Quelles sont tes obligations,0,0,1
1101,exactement,0,1,0
9723,quelle sont vos heures d'ouverture le jeudi,1,0,0
4200,je me sens parfois très seul,0,0,1
230,autre chose que celui ci ?,0,1,0
9654,quelle sont vos heures de travail le mercredi,1,0,0
8197,Google est nettement meilleur,0,0,1
8703,okay oh,0,0,1
6809,Tu peux me dire l'avenir,0,0,1
4102,t'as vu que je badinais,0,0,1
1732,oui ça a l'air bien,0,1,0
1506,quels sont les couleurs disponibl,0,1,0
5379,est-ce que tu peux m'expliquer le véritable sens de la vie,0,0,1
550,mlih,0,1,0
2930,joyeuse fête des amoureux,0,0,1
2159,Je ne percute vraiment rien,0,0,1
7338,tu ne charbonnes plus à mon service,0,0,1
7457,je veux des blagues,0,0,1
8881,est-ce que tu m'aimes pas,0,0,1
9524,quelle sont vos heures de travail le mercredi,1,0,0
6129,est-ce que tu en pinces pour quelqu’un,0,0,1
8240,Je ne rigole pas,0,0,1
4884,tu sais qui est ton frère,0,0,1
8905,tu me fais un câlin,0,0,1
1306,je veux des chaussures bon marché,0,1,0
8330,tu crois que c'est amusant,0,0,1
3278,t'es cool,0,0,1
248,fille,0,1,0
5246,Est-ce que tu parles avec Bixby,0,0,1
2232,c'est l'heure d'éteindre,0,0,1
3659,franchement tu me manques beaucoup,0,0,1
9842,quelle sont vos heures d'ouverture le mardi,1,0,0
9451,quelle sont vos heures de travail le dimanche,1,0,0
5452,qui est le plus beau de nous deux,0,0,1
1448,oui c'est ça,0,1,0
9309,quelles sont vos heures d'ouverture,1,0,0
5870,tu veux dominer la terre,0,0,1
6008,tu crois que tu es brillante,0,0,1
1108,prix,0,1,0
3008,quoi de neuf,0,0,1
1919,à ton avis est-ce que je devrais faire des plans,0,0,1
7647,ne dis plus un mot,0,0,1
5449,entre nous deux qui est-ce qui est le plus beau,0,0,1
8774,trop comique,0,0,1
9006,j’ai envie de me balancer d'un toit,0,0,1
6346,où tu bosses en ce moment,0,0,1
3165,on est meilleurs copains,0,0,1
6739,Dis qui est-ce qui est ton chef,0,0,1
4372,j'aime bien faire des choses,0,0,1
772,homme,0,1,0
9308,quelles sont vos horaires d'ouverture,1,0,0
1729,"Mmmm jaime pas celui ci, autre ?",0,1,0
6550,Il faut que que tu me demandes un truc sur moi,0,0,1
6074,tu as un petit ami,0,0,1
7303,maintenant t'es sans travail,0,0,1
6633,tu aimerais respirer,0,0,1
3521,veux-tu devenir mon époux,0,0,1
699,cherche des sandale a prix modéré,0,1,0
9028,je vais me jeter d'un immeuble,0,0,1
5709,Donne-moi ton opinion sur les autres chatbots,0,0,1
8955,tu peux me prendre dans tes bras,0,0,1
9469,avez vous un site internet,1,0,0
3324,tu es vraiment grave au top,0,0,1
445,prix,0,1,0
