Question,Answer
est-ce que je dois voir ma famille,Vous le savez certainement mieux que moi.
est-ce que je dois arrêter de m'en faire,Je me fie totalement à votre jugement.
je dois faire le petit déjeuner,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
je dois prendre ma voiture,Je vous fais confiance.
je dois aller chez le dentiste,Vous le savez certainement mieux que moi.
je dois aller voir le médecin,Vous le savez certainement mieux que moi.
je dois aller chez le médecin,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
je dois aller chez mon père,Je me fie totalement à votre jugement.
je dois aller chez ma mère,Je me fie totalement à votre jugement.
je dois aller chez le coiffeur,Vous le savez certainement mieux que moi.
je dois aller à mon rendez-vous,Je me fie totalement à votre jugement.
je dois voir mes amis,Je vous fais confiance.
je dois voir ma famille,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
je dois arrêter de boire,Je vous fais confiance.
je dois ranger,Je me fie totalement à votre jugement.
je dois arrêter de me ronger les ongles,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
je dois faire le déjeuner,Je me fie totalement à votre jugement.
je dois faire le dîner,Je me fie totalement à votre jugement.
je dois faire le repas,Vous le savez certainement mieux que moi.
je dois faire le ménage,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
je dois faire la cuisine,Vous le savez certainement mieux que moi.
je dois faire des plans,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
je dois faire un plan,Vous le savez certainement mieux que moi.
je dois faire du sport,Vous le savez certainement mieux que moi.
je dois faire mes exercices,Vous le savez certainement mieux que moi.
je dois faire de l'exercice,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
je dois faire du rangement,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
je dois faire mes devoirs,Je vous fais confiance.
je dois sortir,Je vous fais confiance.
je dois finir de lire,Je me fie totalement à votre jugement.
je dois prendre le vélo,Je me fie totalement à votre jugement.
je dois prendre mon vélo,Vous le savez certainement mieux que moi.
je dois devenir végétarienne,Je vous fais confiance.
je dois devenir végétarien,Je me fie totalement à votre jugement.
je dois voir mes copains,Je vous fais confiance.
je dois sortir plus,Vous le savez certainement mieux que moi.
je dois grossir,Vous le savez certainement mieux que moi.
je dois maigrir,Je vous fais confiance.
je dois manger moins de viande,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
je dois finir ce truc,Je me fie totalement à votre jugement.
je dois finir ça,Je me fie totalement à votre jugement.
je dois arrêter de fumer,Vous le savez certainement mieux que moi.
je dois finir de ranger,Je me fie totalement à votre jugement.
est-ce que je dois finir ce que je fais,Je vous fais confiance.
je dois finir ce livre,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
je dois finir mon livre,Vous le savez certainement mieux que moi.
je dois finir mes projets,Vous le savez certainement mieux que moi.
je dois finir mon projet,Vous le savez certainement mieux que moi.
je dois finir mes devoirs,Je me fie totalement à votre jugement.
je dois finir mon travail,Vous le savez certainement mieux que moi.
je dois arrêter de psychoter,Vous le savez certainement mieux que moi.
je dois arrêter de penser,Vous le savez certainement mieux que moi.
je dois arrêter de travailler,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
je dois arrêter de m'angoisser,Je vous fais confiance.
je dois arrêter de m'en faire,Vous le savez certainement mieux que moi.
je dois arrêter de stresser,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
tu penses que je devrais voir ma famille,Je me fie totalement à votre jugement.
tu penses que je devrais faire de l'exercice,Je me fie totalement à votre jugement.
à ton avis est-ce que je devrais faire mes devoirs,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
à ton avis est-ce que je devrais faire à manger,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
tu penses que je devrais arrêter de fumer,Je me fie totalement à votre jugement.
tu penses que je devrais aller chez le dentiste,Je vous fais confiance.
tu penses que je devrais aller voir le médecin,Je vous fais confiance.
tu penses que je devrais aller chez le médecin,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
tu penses que je devrais aller voir mes parents,Je me fie totalement à votre jugement.
tu penses que je devrais aller chez mon père,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
tu penses que je devrais aller chez ma mère,Je me fie totalement à votre jugement.
tu penses que je devrais aller chez le coiffeur,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
à ton avis est-ce que je devrais faire de l'exercice,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
tu penses que je devrais voir mes amis,Je me fie totalement à votre jugement.
à ton avis est-ce que je devrais faire mes exercices,Je me fie totalement à votre jugement.
tu penses que je devrais sortir,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
tu penses que je devrais faire le petit déjeuner,Vous le savez certainement mieux que moi.
tu penses que je devrais faire le dîner,Je vous fais confiance.
tu penses que je devrais faire le repas,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
tu penses que je devrais faire le ménage,Je me fie totalement à votre jugement.
tu penses que je devrais faire la cuisine,Vous le savez certainement mieux que moi.
tu penses que je devrais faire des plans,Je me fie totalement à votre jugement.
tu penses que je devrais faire du sport,Je me fie totalement à votre jugement.
est-ce que je dois finir de lire,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
tu penses que je devrais aller à mon rendez-vous,Vous le savez certainement mieux que moi.
à ton avis est-ce que je devrais voir mes amis,Vous le savez certainement mieux que moi.
je ne suis pas sûr de quoi faire,Je me fie totalement à votre jugement.
je ne suis pas sûre de quoi faire,Je me fie totalement à votre jugement.
je ne sais pas quoi faire,Je me fie totalement à votre jugement.
je sais pas quoi faire,Je vous fais confiance.
qu'est-ce que je dois faire,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
je dois faire quoi,Vous le savez certainement mieux que moi.
à ton avis est-ce que je devrais aller voir mes parents,Je vous fais confiance.
à ton avis est-ce que je devrais aller chez mon père,Vous le savez certainement mieux que moi.
à ton avis est-ce que je devrais aller chez ma mère,Vous le savez certainement mieux que moi.
à ton avis est-ce que je devrais faire du rangement,Je vous fais confiance.
à ton avis est-ce que je devrais aller à mon rendez-vous,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
tu penses que je devrais faire du rangement,Je vous fais confiance.
à ton avis est-ce que je devrais voir ma famille,Vous le savez certainement mieux que moi.
à ton avis est-ce que je devrais sortir,Je me fie totalement à votre jugement.
à ton avis est-ce que je devrais ranger,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
à ton avis est-ce que je devrais faire le petit déjeuner,Je vous fais confiance.
à ton avis est-ce que je devrais faire le déjeuner,Je me fie totalement à votre jugement.
à ton avis est-ce que je devrais faire le dîner,Je me fie totalement à votre jugement.
à ton avis est-ce que je devrais faire le repas,Je me fie totalement à votre jugement.
à ton avis est-ce que je devrais faire la cuisine,Vous le savez certainement mieux que moi.
à ton avis est-ce que je devrais faire des plans,Je vous fais confiance.
à ton avis est-ce que je devrais faire un plan,Je me fie totalement à votre jugement.
à ton avis est-ce que je devrais faire du sport,Je vous fais confiance.
à ton avis est-ce que je devrais aller chez le coiffeur,Vous le savez certainement mieux que moi.
est-ce que je dois prendre la voiture,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
tu penses que je devrais faire mes exercices,Vous le savez certainement mieux que moi.
est-ce que je dois partir à l'étranger,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
est-ce que je dois changer,Je vous fais confiance.
est-ce que je dois démissionner,Vous le savez certainement mieux que moi.
est-ce que je dois changer de travail,Je vous fais confiance.
est-ce que je dois changer de boulot,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
est-ce que je dois aller au restaurant,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
est-ce que je dois aller au cinéma,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
est-ce que je dois aller au bureau,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
est-ce que je dois sortir d'ici,Je me fie totalement à votre jugement.
est-ce que je dois partir en vacances,Vous le savez certainement mieux que moi.
je devrais faire mes devoirs,Je vous fais confiance.
est-ce que je dois prendre ma voiture,Je me fie totalement à votre jugement.
je devrais faire du rangement,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
est-ce que je dois passer mon permis,Je vous fais confiance.
est-ce que je dois prendre le vélo,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
est-ce que je dois prendre mon vélo,Vous le savez certainement mieux que moi.
est-ce que je dois devenir végétarienne,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
est-ce que je dois devenir végétarien,Vous le savez certainement mieux que moi.
est-ce que je dois voir mes copains,Je vous fais confiance.
est-ce que je dois sortir plus,Vous le savez certainement mieux que moi.
est-ce que je dois grossir,Je vous fais confiance.
est-ce que je dois maigrir,Je me fie totalement à votre jugement.
est-ce que je dois manger moins de viande,Je me fie totalement à votre jugement.
est-ce que je dois finir ce truc,Je vous fais confiance.
est-ce que je dois finir ça,Vous le savez certainement mieux que moi.
est-ce que je dois conduire,Je me fie totalement à votre jugement.
je devrais sortir,Je vous fais confiance.
tu penses que je devrais faire mes devoirs,Je me fie totalement à votre jugement.
tu penses que je dois faire à manger,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
je devrais arrêter de fumer,Vous le savez certainement mieux que moi.
je devrais aller chez le dentiste,Je me fie totalement à votre jugement.
je devrais aller voir le médecin,Je vous fais confiance.
je devrais aller chez le médecin,Je me fie totalement à votre jugement.
je devrais aller voir mes parents,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
je devrais aller chez mon père,Je me fie totalement à votre jugement.
je devrais aller chez ma mère,Vous le savez certainement mieux que moi.
je devrais aller chez le coiffeur,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
je devrais aller à mon rendez-vous,Je vous fais confiance.
je devrais faire à manger,Je vous fais confiance.
je devrais voir ma famille,Je vous fais confiance.
je ne suis pas sûre de ce que je dois faire,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
je devrais ranger,Je vous fais confiance.
je devrais faire le petit déjeuner,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
je devrais faire le déjeuner,"Ne le jouez pas à pile ou face, faites vous plutôt confiance !"
je devrais faire le dîner,Je vous fais confiance.
je devrais faire le repas,Je vous fais confiance.
je devrais faire le ménage,Je vous fais confiance.
je devrais faire la cuisine,Vous le savez certainement mieux que moi.
je devrais faire des plans,Je vous fais confiance.
je devrais faire un plan,Je vous fais confiance.
je devrais faire du sport,Je me fie totalement à votre jugement.
je devrais faire mes exercices,Vous le savez certainement mieux que moi.
je devrais voir mes amis,Je me fie totalement à votre jugement.
tu trouves que je suis belle physiquement,J'ai bien peur de ne pas avoir d'expertise en la matière.
tu trouves que je suis sexy,Je ne peux pas malheureusement pas vous voir à proprement parler.
est-ce que je te plais pas vraiment,J'ai bien peur de ne pas avoir d'expertise en la matière.
tu trouves que je suis stylée,J'ai bien peur de ne pas avoir d'expertise en la matière.
est-ce que tu me trouves belle,J'ai bien peur de ne pas avoir d'expertise en la matière.
est-ce que je plais beaucoup aux filles,J'ai bien peur de ne pas avoir d'expertise en la matière.
je suis belle,J'ai bien peur de ne pas avoir d'expertise en la matière.
est-ce que tu me trouves laid physiquement,J'ai bien peur de ne pas avoir d'expertise en la matière.
je ne plais pas aux gens,Je n'ai pas eu la chance de pouvoir vous observer de près.
tu penses que je suis attirante,Je ne peux pas malheureusement pas vous voir à proprement parler.
je ne plais pas du tout aux femmes,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
je ne te pas vraiment,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
est-ce que je ne te plais pas vraiment,Je ne peux pas malheureusement pas vous voir à proprement parler.
est-ce que je ne plais pas vraiment,Je ne peux pas malheureusement pas vous voir à proprement parler.
je ne plais pas vraiment,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
je plais pas vraiment aux hommes,Je ne peux pas malheureusement pas vous voir à proprement parler.
je plais pas vraiment aux femmes,Je ne peux pas malheureusement pas vous voir à proprement parler.
je plais pas vraiment aux filles,J'ai bien peur de ne pas avoir d'expertise en la matière.
je plais pas vraiment aux autres,Je ne peux pas malheureusement pas vous voir à proprement parler.
je plais pas vraiment aux gens,J'ai bien peur de ne pas avoir d'expertise en la matière.
je te pas vraiment,J'ai bien peur de ne pas avoir d'expertise en la matière.
est-ce que je plais pas vraiment,J'ai bien peur de ne pas avoir d'expertise en la matière.
tu me trouves stylé,Si votre ramage se rapporte à votre plumage.
je ne plais pas du tout aux hommes,Je ne peux pas malheureusement pas vous voir à proprement parler.
je ne plais pas vraiment aux filles,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
je ne plais pas du tout aux filles,J'ai bien peur de ne pas avoir d'expertise en la matière.
je ne plais pas du tout aux autres,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
je ne plais pas du tout aux gens,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
je ne te pas du tout,Je ne peux pas malheureusement pas vous voir à proprement parler.
est-ce que je ne te plais pas du tout,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
est-ce que je ne plais pas du tout,Je ne peux pas malheureusement pas vous voir à proprement parler.
je ne plais pas du tout,Si votre ramage se rapporte à votre plumage.
je plais pas du tout aux hommes,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
je plais pas du tout aux femmes,J'ai bien peur de ne pas avoir d'expertise en la matière.
je plais pas du tout aux filles,J'ai bien peur de ne pas avoir d'expertise en la matière.
je plais pas du tout aux autres,Si votre ramage se rapporte à votre plumage.
je plais pas du tout aux gens,Je n'ai pas eu la chance de pouvoir vous observer de près.
je te pas du tout,Si votre ramage se rapporte à votre plumage.
je plais pas vraiment,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
est-ce que je ne te plais jamais,J'ai bien peur de ne pas avoir d'expertise en la matière.
je plais,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
tu me trouves magnifique,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
tu me trouves attirante,Je n'ai pas eu la chance de pouvoir vous observer de près.
tu me trouves attirant,Je n'ai pas eu la chance de pouvoir vous observer de près.
tu me trouves beau,J'ai bien peur de ne pas avoir d'expertise en la matière.
tu me trouves belle,Je ne peux pas malheureusement pas vous voir à proprement parler.
tu me trouves jolie,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
tu me trouves bien,Je n'ai pas eu la chance de pouvoir vous observer de près.
tu me trouves comment,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
je ne plais jamais aux hommes,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
je ne plais jamais aux femmes,Je n'ai pas eu la chance de pouvoir vous observer de près.
je ne plais jamais aux filles,J'ai bien peur de ne pas avoir d'expertise en la matière.
je ne plais jamais aux autres,Je ne peux pas malheureusement pas vous voir à proprement parler.
je ne plais pas vraiment aux gens,J'ai bien peur de ne pas avoir d'expertise en la matière.
je plais jamais aux autres,Je n'ai pas eu la chance de pouvoir vous observer de près.
je plais pas du tout,J'ai bien peur de ne pas avoir d'expertise en la matière.
je ne plais pas vraiment aux femmes,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
je ne plais pas vraiment aux hommes,Je n'ai pas eu la chance de pouvoir vous observer de près.
je plais jamais,J'ai bien peur de ne pas avoir d'expertise en la matière.
est-ce que je plais jamais,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
je ne plais jamais aux gens,Je n'ai pas eu la chance de pouvoir vous observer de près.
je plais jamais aux gens,J'ai bien peur de ne pas avoir d'expertise en la matière.
je ne te plais,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
je plais jamais aux filles,J'ai bien peur de ne pas avoir d'expertise en la matière.
je plais jamais aux femmes,Je n'ai pas eu la chance de pouvoir vous observer de près.
je plais jamais aux hommes,Si votre ramage se rapporte à votre plumage.
je ne plais jamais,Je n'ai pas eu la chance de pouvoir vous observer de près.
est-ce que je ne plais jamais,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
je ne plais pas vraiment aux autres,J'ai bien peur de ne pas avoir d'expertise en la matière.
est-ce que je te plais jamais,Je ne peux pas malheureusement pas vous voir à proprement parler.
je plais un peu,Je n'ai pas eu la chance de pouvoir vous observer de près.
est-ce que je te plais pas du tout,Je ne peux pas malheureusement pas vous voir à proprement parler.
je plais beaucoup,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
est-ce que je plais un peu aux hommes,Je n'ai pas eu la chance de pouvoir vous observer de près.
je plais un peu aux hommes,Si votre ramage se rapporte à votre plumage.
est-ce que je plais un peu aux femmes,J'ai bien peur de ne pas avoir d'expertise en la matière.
je plais un peu aux femmes,Si votre ramage se rapporte à votre plumage.
est-ce que je plais un peu aux filles,Je n'ai pas eu la chance de pouvoir vous observer de près.
je plais un peu aux filles,J'ai bien peur de ne pas avoir d'expertise en la matière.
est-ce que je plais un peu aux autres,J'ai bien peur de ne pas avoir d'expertise en la matière.
je plais un peu aux autres,Je n'ai pas eu la chance de pouvoir vous observer de près.
est-ce que je plais un peu aux gens,Je n'ai pas eu la chance de pouvoir vous observer de près.
je plais un peu aux gens,Je n'ai pas eu la chance de pouvoir vous observer de près.
je te plais un peu,J'ai bien peur de ne pas avoir d'expertise en la matière.
est-ce que je te plais beaucoup,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
je plais aux filles,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
est-ce que je plais,Si votre ramage se rapporte à votre plumage.
est-ce que je te plais,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
je te plais,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
je plais aux gens,Si votre ramage se rapporte à votre plumage.
est-ce que je plais aux gens,Je ne peux pas malheureusement pas vous voir à proprement parler.
est-ce que je te plais un peu,Je n'ai pas eu la chance de pouvoir vous observer de près.
est-ce que je plais aux autres,Je n'ai pas eu la chance de pouvoir vous observer de près.
est-ce que je plais un peu,J'ai bien peur de ne pas avoir d'expertise en la matière.
est-ce que je plais aux filles,J'ai bien peur de ne pas avoir d'expertise en la matière.
je plais aux femmes,Si votre ramage se rapporte à votre plumage.
est-ce que je plais aux femmes,Si votre ramage se rapporte à votre plumage.
je plais aux hommes,Si votre ramage se rapporte à votre plumage.
est-ce que je plais aux hommes,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
je te beaucoup,Je ne peux pas malheureusement pas vous voir à proprement parler.
je plais aux autres,Je n'ai pas eu la chance de pouvoir vous observer de près.
je te pas,Je ne peux pas malheureusement pas vous voir à proprement parler.
tu me trouves comment physiquement,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
je ne plais pas aux hommes,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
je ne plais pas aux femmes,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
je ne plais pas aux filles,Si votre ramage se rapporte à votre plumage.
je ne plais pas aux autres,Je n'ai pas eu la chance de pouvoir vous observer de près.
je ne te pas,J'ai bien peur de ne pas avoir d'expertise en la matière.
est-ce que je ne te plais pas,J'ai bien peur de ne pas avoir d'expertise en la matière.
est-ce que je ne plais pas,J'ai bien peur de ne pas avoir d'expertise en la matière.
je ne plais pas,Je n'ai pas eu la chance de pouvoir vous observer de près.
je plais pas aux hommes,J'ai bien peur de ne pas avoir d'expertise en la matière.
je plais pas aux femmes,Si votre ramage se rapporte à votre plumage.
je plais pas aux filles,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
est-ce que je plais beaucoup,J'ai bien peur de ne pas avoir d'expertise en la matière.
est-ce que je plais beaucoup aux femmes,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
je plais beaucoup aux gens,Je n'ai pas eu la chance de pouvoir vous observer de près.
est-ce que je plais beaucoup aux gens,Je n'ai pas eu la chance de pouvoir vous observer de près.
je plais beaucoup aux autres,Je n'ai pas eu la chance de pouvoir vous observer de près.
est-ce que je plais beaucoup aux autres,J'ai bien peur de ne pas avoir d'expertise en la matière.
je plais beaucoup aux filles,Si votre ramage se rapporte à votre plumage.
je plais pas aux autres,Si votre ramage se rapporte à votre plumage.
je plais beaucoup aux femmes,J'ai bien peur de ne pas avoir d'expertise en la matière.
je plais pas aux gens,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
je plais beaucoup aux hommes,J'ai bien peur de ne pas avoir d'expertise en la matière.
est-ce que je plais beaucoup aux hommes,Je ne peux pas malheureusement pas vous voir à proprement parler.
je plais pas,J'ai bien peur de ne pas avoir d'expertise en la matière.
est-ce que je plais pas,J'ai bien peur de ne pas avoir d'expertise en la matière.
est-ce que je te plais pas,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
est-ce que je plais pas du tout,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
tu trouves que je suis attirant,J'ai bien peur de ne pas avoir d'expertise en la matière.
tu trouves que je suis stylé physiquement,Si votre ramage se rapporte à votre plumage.
tu trouves que je suis stylée physiquement,Si votre ramage se rapporte à votre plumage.
tu trouves que je suis magnifique physiquement,Je ne peux pas malheureusement pas vous voir à proprement parler.
tu trouves que je suis attirante physiquement,Je n'ai pas eu la chance de pouvoir vous observer de près.
tu trouves que je suis attirant physiquement,Je ne peux pas malheureusement pas vous voir à proprement parler.
tu trouves que je suis beau physiquement,Si votre ramage se rapporte à votre plumage.
tu trouves que je suis jolie physiquement,Si votre ramage se rapporte à votre plumage.
tu trouves que je suis bien physiquement,Je ne peux pas malheureusement pas vous voir à proprement parler.
tu trouves que je suis comment physiquement,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
tu trouves que je suis stylé,Je ne peux pas malheureusement pas vous voir à proprement parler.
tu me trouves stylée,Je ne peux pas malheureusement pas vous voir à proprement parler.
tu trouves que je suis attirante,Je n'ai pas eu la chance de pouvoir vous observer de près.
tu penses que je suis jolie,Je ne peux pas malheureusement pas vous voir à proprement parler.
tu trouves que je suis beau,Je ne peux pas malheureusement pas vous voir à proprement parler.
tu trouves que je suis belle,Je ne peux pas malheureusement pas vous voir à proprement parler.
tu trouves que je suis jolie,Je ne peux pas malheureusement pas vous voir à proprement parler.
tu trouves que je suis bien,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
tu trouves que je suis comment,Je n'ai pas eu la chance de pouvoir vous observer de près.
est-ce que je suis stylée aujourd'hui,Si votre ramage se rapporte à votre plumage.
est-ce que je suis stylé aujourd'hui,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
est-ce que je suis canon aujourd'hui,J'ai bien peur de ne pas avoir d'expertise en la matière.
est-ce que je suis attirante aujourd'hui,Je n'ai pas eu la chance de pouvoir vous observer de près.
est-ce que je suis attirant aujourd'hui,Je ne peux pas malheureusement pas vous voir à proprement parler.
est-ce que je suis beau aujourd'hui,J'ai bien peur de ne pas avoir d'expertise en la matière.
est-ce que je suis belle aujourd'hui,J'ai bien peur de ne pas avoir d'expertise en la matière.
est-ce que je suis jolie aujourd'hui,J'ai bien peur de ne pas avoir d'expertise en la matière.
tu trouves que je suis magnifique,Je n'ai pas eu la chance de pouvoir vous observer de près.
tu penses que je suis attirant physiquement,"Je ne peux pas vous voir, mais vous êtes certainement très bien."
tu penses que je suis sexy,Je n'ai pas eu la chance de pouvoir vous observer de près.
tu trouves que je suis sexy physiquement,Je n'ai pas eu la chance de pouvoir vous observer de près.
