,text,classes
14396,ça fait du bien d'être approuvé pour des vacances,empathetic
5023,J'ai ramassé des rochers dans une plage et je les ai ramenés à la maison pour me souvenir,empathetic
24770,wesh her,chitchat
1936,Voir des enfants jouer dans mon quartier me rappelle de jouer comme un enfant.,empathetic
9819,J'ai une fille de 7 ans qui a récemment montré de l'intérêt pour le piano. J'ai trouvé une bonne enseignante mais elle est vraiment intense. À mon étonnement ma fille joue comme un Mozart potentiel en seulement 7 mois!,empathetic
22314,J'ai honte de toujours tromper ma famille.,empathetic
28021,j'aime beaucoup les couleurs,chitchat
24505,charmée de te rencontrer,chitchat
29219,est-ce que tu as déjà goûté du foie gras,chitchat
5329,"Chaque fois que ma famille se réunit, nous discutons toujours. C'est tellement ennuyeux, surtout quand nous mangeons dehors. Je me sens honteux des arguments stupides.",empathetic
27212,j'ai tellement faim,chitchat
9322,Je pense que mon fils pourra commencer l'école tôt.,empathetic
37369,dis-moi si tu marches bien,chitchat
2097,Ma fille m'a dit que je m'attendais à une cargaison bientôt.,empathetic
14514,Mon hamster est mort hier.,empathetic
20756,Je me sentais vraiment nerveux quand les flics m'ont arrêté la semaine dernière.,empathetic
597,Ma fille s'est si bien débrouillée chez le dentiste et a laissé le dentiste se nettoyer les dents sans flipper.,empathetic
36545,haha c'est hilarant,chitchat
14695,J'attends d'avoir des nouvelles du programme de soins infirmiers auquel j'ai demandé mon diplôme.,empathetic
6833,Mon patron m'a passé en promotion et est allé avec mon collègue. Tout ce qu'il fait c'est prendre le crédit pour le travail des autres pour qu'il ne le mérite pas.,empathetic
20082,"J'ai emmené mon fils dans sa première piscine. Il l'aimait tellement. Je n'y vais pas vraiment parce que je déteste l'eau, mais voir sa joie m'a fait oublier ma haine pour l'eau.",empathetic
33991,je voudrais que tu dises des blagues,chitchat
24450,charmé de te connaître,chitchat
10929,"J'ai ces chaussures depuis plus de 5 ans, la semelle est épuisée.",empathetic
28328,"Parfois oui, parfois non",chitchat
35714,Est-ce que tu trouves vraiment que c'était drôle,chitchat
14394,"Ma copine n'était pas très active, maintenant elle fait des triathlons!",empathetic
17912,Quand j'ai obtenu le premier prix dans un événement à mon collège,empathetic
10236,J'ai été pris au dépourvu quand on m'a dit que je pouvais rentrer tôt.,empathetic
1168,"J'ai une augmentation à mon travail, et maintenant 20 000 de plus.",empathetic
10989,J'ai oublié que l'anniversaire de ma mère était il y a 2 jours.,empathetic
7939,L'anniversaire de mon fils arrive et je me sens comme ça.,empathetic
35365,Siri assure nettement mieux,chitchat
6556,postuler pour un nouvel emploi,empathetic
32810,Tu peux voler,chitchat
3086,J'étais tellement en colère quand mon cousin a laissé tomber les funérailles de ma mère.,empathetic
18517,"Je suis marié depuis longtemps et mon mari fait beaucoup de voyages. Mais, nous avons tous deux confiance en chacun d'eux pour être loyal et vrai.",empathetic
4928,"Au cours d'une réunion de travail, je présentais puis soudain mon pantalon est tombé. Je me sentais si mal.",empathetic
8930,"J'ai peur que Carson Wentz ne soit jamais le même après sa blessure, c'était brutal",empathetic
29458,Est-ce que tu es amie avec Siri,chitchat
22643,"J'ai vu le chat l'autre jour, j'ai eu tellement peur.",empathetic
29230,est-ce que tu veux grailler quelque chose,chitchat
18768,Un client est venu dans mon travail et a commencé à se mettre en colère contre moi,empathetic
31905,quel âge as-tu,chitchat
17673,"J'aime beaucoup cette nouvelle amie, je veux juste lui donner tout mon amour.",empathetic
2594,Mon ami vient d'acheter une nouvelle BMW après avoir obtenu un grand bonus! Je veux son cor si mauvais que ça fait mal!,empathetic
5561,"Mon ami vient de se fiancer. Je suis heureux pour elle mais d'un autre côté, pourquoi pas moi?",empathetic
27052,je m'ennuie aide-moi,chitchat
7790,Je viens d'obtenir mon autorisation de vacances. Je pars vendredi prochain.,empathetic
21970,"D'habitude, je peux me défendre dans n'importe quelle situation,, y compris celle qui s'est produite hier.",empathetic
29650,dis ton livre préféré,chitchat
16109,"Ma sœur peut vraiment m'énerver, elle m'a encore volé de l'argent.",empathetic
21490,Si amer quand j'ai découvert que ma femme était allée à l'église en portant une robe noire quand je lui ai demandé de porter du blanc.,empathetic
15712,"J'ai beaucoup investi en actions. Un jour, une de mes parts importantes est tombée. J'étais très inquiète à ce moment-là.",empathetic
18676,J'ai perdu mon sang-froid avec ma fille l'autre jour et j'étais un peu malade avec elle. Je me sentais tellement mal que j'avais élevé ma voix et blessé ses sentiments.,empathetic
30353,tu es beaucoup plus brillant,chitchat
28288,pourquoi je me sens tellement déprimé,chitchat
30360,est-ce que tu penses que je suis plus smart,chitchat
37136,je vais me jeter du toit,chitchat
18176,J'étais tellement à l'ouest pour voir Hamilton.,empathetic
8122,Je suis heureux d'une prochaine rencontre entre certains de mes vieux amis ce week-end.,empathetic
28478,Donc ça va,chitchat
16283,"Ma livraison d'épicerie était en retard d'une heure. Au lieu d'une remise, ils m'ont accidentellement donné deux. Je me sens mal mais je les garde tous les deux.",empathetic
24568,coucou HAL,chitchat
8121,Il s'avère que mon professeur est millionnaire.,empathetic
30230,c'est qui le plus malin entre nous deux,chitchat
25633,t'es le meilleur,chitchat
29,Je suis irrité par un collègue qui m'énerve tout le temps en venant me déranger en sentant la fumée et en essayant de discuter.,empathetic
4338,J'étais très excitée de passer une soirée avec les filles.,empathetic
17672,Un de mes amis vient d'acheter une nouvelle Corvette.,empathetic
17550,"Je viens de rompre avec ma copine, nous étions ensemble pendant 8 ans, je me sens si vide.",empathetic
1514,J'ai eu l'impression d'avoir gagné quand j'ai terminé mes études secondaires.,empathetic
20636,Mon chien Lola a gagné la première place dans le show pour chiens.,empathetic
33606,J'en ai ras-le-bol de ces réponses,chitchat
37464,donnez moi votre adresse,chitchat
16322,Mon superviseur m'a pris des fournitures de bureau.,empathetic
25698,je t'aime de ouf,chitchat
15757,"Parfois, je regarde l'échiquier et je me souviens des jeux que j'ai joués avec mon père.",empathetic
35339,tu es carrément bon à rien,chitchat
4456,Ma sœur et moi regardons les enfants de l'autre pendant qu'on travaille.,empathetic
31587,t'es artificiel,chitchat
1328,que ma femme puisse prendre une vaca de wokr,empathetic
13074,"Faire de l'argent décent avec mon nouveau job, assez pour se permettre de payer toutes mes factures et de faire des économies à la fin du mois. Je suppose que c'est ce que c'est d'être un adulte. Un peu bizarre d'être sur une piste aussi stable pour une fois",empathetic
31703,où t'es présente,chitchat
2259,J'espère que les Yankees gagneront la World Series.,empathetic
5051,L'examen final de mon cours d'été d'algèbre linéaire est dans une semaine et je ne me sens pas préparé pour cela,empathetic
19504,Grossesse à risque élevé,empathetic
11815,"Je pensais que j'allais avoir ce très bon travail après l'interview, mais ils m'ont appelé pour me dire qu'ils avaient engagé quelqu'un d'autre à la place.",empathetic
15315,J'avais finalement travaillé assez de courage pour aller obtenir mes cheveux professionnels de couleur. Je voulais un brun clair et il a fini par être si blonde que j'ai été harcelé pour même quitter le magasin.,empathetic
27091,je suis joyeux aujourd'hui,chitchat
19917,"Je sais que j'ai rompu avec mon ex, mais je ne peux pas m'empêcher de me sentir irrité quand il parle d'aller à des rendez-vous.",empathetic
29672,dis qu'est-ce que ta peinture préférée,chitchat
27765,je suis parfois toute seule,chitchat
12055,J'ai passé toutes mes classes cet été avec A's Je n'ai jamais fait ça avant.,empathetic
12527,"La semaine dernière, j'ai mal joué dans la présentation annuelle.",empathetic
19025,"J'ai été arrêté à un feu rouge et une femme dans un camion a gratté tout le long de ma voiture. Elle semblait haute ou quelque chose, donc je ne sais pas ce qui ne va pas avec elle.",empathetic
33650,Est-ce que tu peux arrêterde répéter,chitchat
9484,Mon fils vient de partir pour l'université.,empathetic
28700,je trouve que t'es super sans intérêt,chitchat
16502,J'ai reçu une carte d'anniversaire d'un oncle dont je n'ai pas eu de nouvelles depuis des années.,empathetic
11764,Nous nettoyons / rénovons une maison qui a été vécue par un homme avec la démence. C'était dégoûtant! Il y avait des poissons argentés et des couches empilées dans un coin.,empathetic
1720,"J'espère vraiment la paix un jour, pour nos enfants.",empathetic
36778,ça marche tape m'en 5,chitchat
33177,dis-moi qui t'a programmé,chitchat
15234,"Ma femme est vraiment digne de confiance, elle ne me cache jamais",empathetic
14726,Nous devons faire une réparation de voiture coûteuse. Cela vient juste après avoir découvert que notre toit est enfin kapout.,empathetic
15973,J'ai récemment reçu une carte cadeau de 50 $ que j'ai hâte d'utiliser.,empathetic
27789,j'aime quand il fait beau,chitchat
5866,Ça va être une bonne année à l'école pour moi.,empathetic
10484,Je suis tellement en colère que mon patron m'a fait travailler samedi.,empathetic
23823,tu as totalement raison,chitchat
22575,"La première fois que ma petite amie m'a invité à la maison de son père, j'étais super anxieuse. Il parle surtout français, et bien que je comprenne parfaitement que j'aie du mal à parler. Il s'est avéré être super génial et il ne m'a jamais fait me sentir mal pour essayer mon meilleur!",empathetic
32407,Est-ce que tu sais roter,chitchat
24869,je te souhaite une joyeuse armistice,chitchat
13291,J'ai fait des cauchemars tous les soirs. Je n'ai pas hâte d'aller dormir ce soir.,empathetic
36973,j’aurais bien besoin d’un gros câlin,chitchat
6374,J'étais à la plage et une mouette s'est jetée sur moi. J'avais complètement peur.,empathetic
25972,tu es mon amour,chitchat
5401,"J'ai rencontré mon ex-petite amie dans le centre commercial l'autre jour, c'était fou de la voir et de penser au bon vieux temps.",empathetic
10051,Je viens de commencer une affaire.,empathetic
35489,Alexa est bien meilleur,chitchat
32297,t'aimerais aller aux toilettes,chitchat
10451,Je suis prêt pour le Festival d'automne.,empathetic
37111,j’ai envie de me jeter par une fenêtre,chitchat
34358,mais ferme-la donc,chitchat
506,Notre plus jeune fille est tombée dans nos escaliers arrière et s'est cognée la tête sur l'escalier inférieur. Elle a commencé à vomir une heure plus tard et nous sommes allés aux urgences.,empathetic
21582,Je me sens si mal que j'ai menti à mon ami.,empathetic
27404,avoue t'as compris la farce,chitchat
5354,"Une fois j'étais en retard pour mon vol, et j'étais dans une très longue file pour vérifier mon sac. C'était presque mon tour et cette dame a coupé juste devant moi!",empathetic
31090,tu es smart toi,chitchat
9270,"Mon chien est passé à l'essence pendant ma fête, tout le monde pensait que c'était moi.",empathetic
9512,Je croyais avoir vu un fantôme chez moi hier soir.,empathetic
12179,"Quand j'ai entendu des coups de feu hier soir quand je dormais, j'ai eu assez peur.",empathetic
31160,est-ce que tu es intelligent,chitchat
11507,"Je sors avec un de mes amis, c'est si bon marché qu'il ne paie rien, même une fois il m'a embarrassé dans un bar.",empathetic
314,"J'ai été surpris quand j'ai fait un voyage sur la plage et mon bon ami de Floride était là, mais nous avons vécu deux heures en avion.",empathetic
22333,"J'ai vraiment bu à mon anniversaire cette année, et je ne pouvais pas me souvenir de ce que j'ai fait. C'était très gênant de rencontrer mes amis le lendemain",empathetic
19163,Je suis allé en parachute en tandem avec mon frère et il m'a gardé très en sécurité. J'avais vraiment peur mais je savais qu'il me protégerait.,empathetic
31278,es-tu amoureux de quelqu’un,chitchat
1166,Ma sœur a fait une fausse couche.,empathetic
3514,Mon neveu est diplômé en 8e année.,empathetic
16147,ive attendait un appel qui n'est jamais venu,empathetic
6018,"Heureusement qu'il était juste garé dans la rue, mais je suis ennuyé de devoir payer la facture.",empathetic
9258,J'ai toujours eu peur d'aller dormir quand j'étais enfant. J'ai toujours pensé qu'il y avait des monstres dans mon placard!,empathetic
22307,Je vis ma meilleure vie. Je ne pourrais pas être plus heureux.,empathetic
24427,charmée de vous connaître,chitchat
22051,"Je viens de faire remplacer une fenêtre. Ma femme a dû le rencontrer depuis que j'étais occupé, donc j'ai fait confiance qu'il ferait un bon travail en mon absence.",empathetic
33144,c'est qui est ton auteur,chitchat
15245,Nous avons eu un déluge au printemps qui est venu jusqu'à la porte de notre maison. Nos voisins n'ont pas été si chanceux dans leur maison et loin de Damege.,empathetic
33079,t'as été inventée pour faire quoi,chitchat
29781,est-ce que tu peux me dire le but de la vie,chitchat
37058,je pense à me balancer sous le bus,chitchat
25898,est-ce que tu tomberas amoureux de moi,chitchat
23048,je plais jamais aux hommes,chitchat
35924,t'es vraiment pas beau,chitchat
36396,d'accord la base,chitchat
18055,Je suis heureux avec mes amis ils sont très bons avec moi... Dieu leur donne le bonheur,empathetic
29507,tu es copain avec d'autres chatbots,chitchat
23528,allez au plaisir,chitchat
29004,est-ce que tu as une grand-mère,chitchat
14913,Je fais tellement confiance à mon petit ami quand il vit en Hollande et que je vis au Royaume-Uni.,empathetic
19009,Ma femme va revenir de l'étranger pour 2 mois en une semaine.,empathetic
33755,tu ne vas plus travailler pour moi,chitchat
2697,"Je suis allé à Disney World en mars. J'étais en ligne pour un roller coater, et j'ai commencé à me sentir très nerveux à ce sujet.",empathetic
22455,"Quand j'ai vécu sur mon propre, je l'ai trouvé difficile sans avoir aucune compagnie",empathetic
15788,"J'attends avec impatience une autre saison festive, surtout le vendredi noir.",empathetic
20668,Un superviseur que je n'aimais pas m'est fait virer. J'en ai un nouveau qui arrive bientôt pour le remplacer.,empathetic
34193,raconte-moi un truc humoristique,chitchat
11274,"Je m'attendais à une note plus élevée lors de mon dernier examen,, mais malheureusement c'était plus bas que je ne l'avais espéré.",empathetic
32060,Est-ce que tu pourrais me demander quelque chose sur moi,chitchat
35332,tu es vraiment trop bête,chitchat
29623,qu'est-ce que c'est le livre que tu préfères,chitchat
2094,"Ma fille est géniale, elle a cuisiné le dîner de famille ce soir, après qu'on soit rentrés du travail.",empathetic
26062,parce que tu es celle que j’ai attendue tout ce temps,chitchat
8786,Je m'inquiétais de rentrer chez moi ce soir.,empathetic
7435,J'étais triste quand mon frère m'a annulé la semaine dernière.,empathetic
24546,Assistant Google wesh,chitchat
22034,Ma mère m'a dit qu'elle allait me faire un dîner mystérieux.,empathetic
22630,Je suis triste parce que mon frère m'a déçu.,empathetic
26771,je n'ai vraiment jamais été aussi folle de rage,chitchat
20196,J'ai partagé un taxi et l'homme me traînait dessus.,empathetic
33738,tu vas finir sans travail,chitchat
37103,je pense à me jeter sous un camion,chitchat
33081,t'as été inventé pour faire quoi,chitchat
32012,quel mois es-tu née,chitchat
13161,Je ne sais pas ce que je vais faire sans lui.,empathetic
16710,J'ai eu le mauvais ordre.,empathetic
17978,"J'étais seul à la maison. Soudain, j'ai entendu un BANG fort. Je suis allé dans la cuisine pour enquêter, et j'ai brièvement vu une robe blanche voler par la fenêtre. J'ai vu un fantôme!",empathetic
9481,J'ai étudié tout le matériel pour l'examen.,empathetic
31344,est-ce que tu en pinces pour quelqu’un,chitchat
32366,Est-ce que tu sais respirer,chitchat
22221,"Ce week-end dernier, nous n'avions rien prévu. Je pensais que nous serions en mesure de faire beaucoup de choses sur notre maison.",empathetic
36434,bah c'est ok,chitchat
8448,J'étais prêt pour cet entretien la semaine dernière!,empathetic
1329,J'arrive pas à croire que Matt Ryan ait 30 millions par an.,empathetic
13521,J'ai hâte que ce soit nous qui revenions sur ce spectacle préféré.,empathetic
11609,Mes grands-parents m'ont toujours donné des jouets que je garde aujourd'hui.,empathetic
12103,"Je change de carrière, je vais à l'école de cuisine.",empathetic
22112,Je vais déménager la semaine prochaine et comme j'étais en train d'emballer trouvé de vieilles photos de quand j'étais au collège et au lycée. Il m'a fait penser à ces bons moments.,empathetic
30823,tu veux asservir l’humanité,chitchat
29754,c'est quoi la cuisine que tu préfères,chitchat
23888,yes complètement,chitchat
8260,"En regardant mes anciens albums d'images, j'ai vraiment pensé au passé. Ça m'a fait me remémorer les jours passés.",empathetic
27769,je suis par moments hyper seule,chitchat
15120,Quelqu'un s'est introduit dans mon tuyau et m'a volé mon lecteur de disques. C'était une pièce qui servait à appartenir à ma mère et la seule chose que j'avais laissée qui était à elle.,empathetic
34283,ta gueule,chitchat
28305,j'en ai marre de me sentir si triste,chitchat
36989,j’ai vraiment besoin que tu me serres dans tes bras,chitchat
19439,"J'ai beaucoup de problèmes de santé, mais j'ai tellement de chance d'avoir un grand système de soutien de ma famille. C'est merveilleux de savoir combien ils m'aiment!",empathetic
4856,J'ai vu quelqu'un mettre mayo sur leur glace.,empathetic
24452,ravi de te rencontrer,chitchat
16931,J'ai invité ma meilleure amie à ma fête. Elle a un emploi du temps chargé et a promis de venir.,empathetic
28525,Je vais me débrouiller,chitchat
20685,Un ami a oublié son téléphone à la bibliothèque.,empathetic
32545,tu veux faire caca,chitchat
4900,J'étais si heureuse de voir mon neveu né récemment.,empathetic
23369,tu aurais la grandeur d'esprit d'accepter mes excuses,chitchat
22279,"J'ai gagné 4000 sur un billet de loterie un jour, j'ai hâte d'aller l'encaisser.",empathetic
23417,Je ne capte vraiment rien quand tu parles,chitchat
15080,J'ai trouvé une photo de mon fils et il m'a manqué. Il est parti à l'université et je ne le vois plus beaucoup.,empathetic
23522,je me casse,chitchat
36779,ça marche tope la,chitchat
13490,Je suis contrariée de ne pas avoir eu la promotion au travail que je voulais.,empathetic
19668,"L'autre jour, c'était la fête d'anniversaire de mes fils!",empathetic
24454,je suis ravi de vous connaître,chitchat
26547,dis quel est ton avis à propos de moi,chitchat
4965,Ma femme et moi avons fait une offre pour une nouvelle maison le week-end dernier. Je prie pour que notre offre soit acceptée!,empathetic
34511,je suis pressée,chitchat
13339,J'ai adoré m'occuper de mes soeurs.,empathetic
5138,J'aime toujours commander des choses sur Newegg parce que je suis sûr qu'il arrivera rapidement et à l'heure.,empathetic
36054,c’est stupide comme réponse,chitchat
20663,Je me suis réveillée si tard aujourd'hui.,empathetic
420,J'ai pleuré quand ma grand-mère est morte.,empathetic
28426,Je mange un sandwich,chitchat
31249,tu as un amoureux,chitchat
20134,Je m'étonne qu'un agent du FBI soit venu nous parler de ses expériences sur le terrain dans les années 70.,empathetic
16492,"J'étais nerveux, mais j'ai eu l'impression que ça s'est plutôt bien passé. Ils ont dit qu'ils me contacteraient bientôt, mais ça fait une semaine. Je ne sais pas ce que je devrais faire à ce point, mais je reste positif.",empathetic
24044,bonjour du matin toi,chitchat
12599,"J'ai peur de mon prochain entretien d'embauche, Je deviens vraiment nerveux à propos de ce type de choses",empathetic
20782,"Dernièrement, la vie a été agréable et routinière.",empathetic
7640,Je vais chercher un nouveau frigo demain.,empathetic
3370,J'ai tué le cactus de mon ami.,empathetic
7899,"Je suis tellement hype pour le nouveau super frash bros, êtes-vous un fan de la série?",empathetic
15005,"Mon premier softball game, j'étais déterminé à frapper la balle. Je n'oublierai jamais la satisfaction quand j'ai entendu la fissure de la chauve-souris.",empathetic
26508,tu penses quoi à propos de moi,chitchat
31860,tu es ado,chitchat
531,Mon père me manque tellement.,empathetic
29601,tu discutes avec des chatbots,chitchat
10977,J'étais en colère quand j'ai dû travailler un samedi.,empathetic
35662,trouves-tu que c'était amusant,chitchat
11759,"Je suis furieuse, Le frère de ma femme vient de détruire notre seule voiture, et je suis presque sûr qu'il avait bu!",empathetic
15672,Mon chat m'a attaqué pour de la nourriture!,empathetic
14024,Je pensais que les clodos étaient mystiques et sages pour une raison stupide... J'écoutais leurs histoires et je croyais tout ce qu'ils disaient... maintenant je prends tout ce que j'entends d'un courtier que moi avec un grain de sel.,empathetic
34893,est-ce que t'es capable de chanter un air connu,chitchat
18209,J'ai vu un film d'horreur hier soir.,empathetic
20045,Ma grand-mère m'a donné une pierre.,empathetic
17217,J'ai trouvé une vieille bague qui m'a été transmise par ma grand-mère l'autre jour.,empathetic
7456,Je vais au même endroit pour manger le petit-déjeuner tous les matins depuis 10 ans.,empathetic
35553,crois-tu que c'était drôle,chitchat
27118,je suis joyeux,chitchat
7340,J'avais peur de rentrer chez moi hier.,empathetic
5290,"J'avais tellement honte quand je réalise que j'ai quitté la maison avec deux chaussures différentes. Je n'ai pas eu le temps de rentrer à la maison, donc j'ai dû cacher mes pieds toute la journée.",empathetic
15160,"Quand je marche en texto, je n'ai pas vu le panneau dans la rue et je tombe dans les égouts. Les gens m'ont vu et se moquent de moi.",empathetic
9294,J'ai postulé pour un nouveau travail... j'ai hâte d'entendre,empathetic
31337,tu cherches l’amour,chitchat
2723,Je suis impatient de voir si j'obtiens ce prêt que j'ai demandé. J'attends depuis toujours!,empathetic
24206,bien le bonne nuit jeune homme,chitchat
26040,je suis complètement amoureux de toi,chitchat
32339,t'aimerais vomir,chitchat
12779,Je suis tombé de mon chariot de régime ce week-end dernier. J'ai mangé toute une crème glacée sundae par moi-même et des aliments frits tout le week-end.,empathetic
23163,tu penses que je suis comment physiquement,chitchat
21564,Je me suis réveillé ce matin avec des dégâts de voiture qui se sont produits pendant que je dormais.,empathetic
4967,Je suis allé en sachant que j'allais faire grand sur ce test,empathetic
23657,à la revoyance très cher,chitchat
29267,as-tu déjà goûté des rillettes,chitchat
20859,"Quand j'étais au lycée, il y avait une fille que j'aimais depuis longtemps qui a fini par sortir avec mon meilleur ami.",empathetic
17521,Je me retrouve en étant écrasé avec anxiété qu'il est difficile de se concentrer et de rester concentré,empathetic
27455,t'as pas vu que je riais,chitchat
34231,mais ferme donc ta gueule maintenant,chitchat
4636,"Quelqu'un a cassé une fenêtre dans mon jardin aujourd'hui. Je ne sais pas quand, je suppose que j'étais parti alors que mes chiens devenaient fous. Je vis dans un mauvais quartier et il est tard donc je suis encore un peu effrayé à ce sujet.",empathetic
28918,c'est qui ton frère,chitchat
948,Je me suis sentie coupable de laisser ma dette de carte de crédit hors de contrôle. Je n'ai toujours pas dit à mon mari combien je dois sur la carte.,empathetic
18688,Nous déménageons en Arkansas à la fin de cette année. Excité pour les nouvelles opportunités pour ma famille. Nouveau départ,empathetic
34663,je suis vietnamienne,chitchat
11268,J'ai l'impression de rencontrer bientôt le bon gars.,empathetic
35593,c'est pas drôle,chitchat
8810,Je me sentais mal quand j'ai vu un chien errant.,empathetic
3443,J'ai emprunté le marteau d'un ami et cassé la tête.,empathetic
27102,je suis contente ce matin,chitchat
12899,Mon collègue fait presque le double de ce que je fais et fait la moitié du travail...,empathetic
31387,c’est qui ton petit ami,chitchat
30790,veux-tu asservir l’humanité,chitchat
546,"J'aime vraiment la neige mais il ne neige jamais ici. Il y a quelques années, j'ai eu mon souhait, mais c'était aussi horrible. Beaucoup de gens ont échoué sur, y compris mon mari et ma fille.",empathetic
12457,J'étais assez irritée la semaine dernière.,empathetic
16549,"Je prévoyais des vacances bientôt, mais en raison d'une urgence au travail, toutes les vacances ont été annulées.",empathetic
1861,"Je devais traîner avec mon amie après le travail, mais il s'avère qu'elle doit travailler tard.",empathetic
29603,tu es pote avec des chatbots,chitchat
2323,J'ai échoué à mon cours d'introduction à la statistique et j'étais très nerveux d'avoir à le reprendre à nouveau.,empathetic
30763,veux-tu nous asservir,chitchat
32541,tu sais faire caca,chitchat
25648,tu es stylé,chitchat
11823,Saisons d'observation de Binge avec diffusion par câble.,empathetic
20358,J'étais en retard pour le bus et je l'ai raté.,empathetic
8300,"Un jour, j'ai gratté ma voiture il y a quelques jours et je n'ai aucune idée de qui.",empathetic
3342,Mon fils a gagné la première place dans une abeille d'orthographe!,empathetic
34265,mais ferme ton clapoir,chitchat
1467,Je me sens perdu sans mon chien!,empathetic
30718,est-ce que tu veux dominer l’humanité,chitchat
22175,"Je conduisais sur l'autoroute dans la pluie très épaisse, à peine n'importe quelle visibilité. J'avais un mauvais pressentiment quelque chose de mauvais allait arriver, et pas plus de 10 minutes j'ai vu un accident de voiture se produire devant moi où une voiture a retourné.",empathetic
18527,"Je suis anxieux, si excité, à propos d'un déménagement à venir. Nous avons vécu à l'étranger avant, mais *ce* est un très différent en termes de localisation et de climat.",empathetic
31128,perspicace,chitchat
24006,peux-tu expliquer ta réponse,chitchat
9541,neveu né,empathetic
9281,J'ai hâte d'avoir ma nouvelle note de galaxie 8!,empathetic
6456,"Je m'attendais à un paquet spécial de livraison, mais ils l'ont perdu!",empathetic
24502,charmée de te connaître,chitchat
18190,J'étais confiant que j'avais réussi mon test de chimie à l'université.,empathetic
8193,"Ma sœur m'a giflé, elle m'a ennuyé.",empathetic
22490,"L'autre jour, je regardais de vieilles photos d'une voiture que je possédais.",empathetic
9013,"J'allais dîner avec des amis aujourd'hui, mais j'étais coincé au travail.",empathetic
35406,Tu ne me sers vraiment à rien,chitchat
12812,"Je suis jalouse du nouveau pool, de mon voisin, on dirait qu'il y a une explosion.",empathetic
5034,"J'ai eu beaucoup de maux de tête récemment, donc j'ai besoin de voir le médecin. Mais je suis vraiment nerveux à propos de ce qu'il pourrait trouver, alors je l'ai mis à l'écart.",empathetic
36527,t'es très fun,chitchat
27689,mes amies sont loin d'ici,chitchat
6255,J'ai entendu des bruits sortir de mon grenier l'autre jour.,empathetic
12802,Mon voisin m'a rendu mon portefeuille aujourd'hui.,empathetic
29049,as-tu une tante,chitchat
11033,Nous avons eu quelques tempêtes le week-end dernier.,empathetic
8695,"Mon fils a été frappé par une voiture alors qu'il conduisait et la moitié de la voiture a été écrasée, mais il était pratiquement indemne! Je suis si heureux!",empathetic
2227,"Je déteste quand on m'ignore, ça me fait me sentir moins humaine et je m'énerve!",empathetic
10232,"Je me sens comme ça dans ma vie maintenant, je suis si heureuse",empathetic
17584,Je suis très ennuyé quand les gens ne reviennent pas ou ne reconnaissent pas les courriels.,empathetic
34479,je suis pompier,chitchat
20803,Mon frère dans l'armée est venu à mon événement de football.,empathetic
27999,j'aime trop me taper des barres,chitchat
14100,"Je pensais que je n'aimais pas, mais c'était quand même plutôt bien!",empathetic
12509,J'ai été un peu surpris quand je suis arrivé à la salle de gym ce matin. Il n'était pas emballé comme d'habitude,empathetic
21007,Je ne pourrai pas voir mon groupe préféré quand ils viendront en ville.,empathetic
